| GET     | index.php                                                                   | »                                              | \App\Controllers\Home::index                                                                         |                                                                                                                                |                                                                                                            |
| GET     | index.php/register                                                          | »                                              | \App\Controllers\AuthController::register                                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | assets/(.*)                                                                 | »                                              | (Closure)                                                                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | /                                                                           | »                                              | \App\Controllers\Home::index                                                                         | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | healthz                                                                     | »                                              | \App\Controllers\System\HealthController::healthz                                                    | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | ops/health                                                                  | »                                              | \App\Controllers\OpsHealthController::index                                                          | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                                     | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Maintenance                                                                 | »                                              | \App\Controllers\MaintenanceController::index                                                        | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                                     | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | admin/ops/health                                                            | »                                              | \App\Controllers\OpsHealthController::index                                                          | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck permission:admin.access | permission:admin.access cspoff sessionTracker requestLifecycle observability jsonException toolbar         |
| GET     | Stock/([^/]+)/([^/]+)                                                       | »                                              | \App\Controllers\StockController::show/$1/$2                                                         | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | blog                                                                        | »                                              | \App\Controllers\Blog::index                                                                         | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | blog/category/([^/]+)                                                       | »                                              | \App\Controllers\Blog::category/$1                                                                   | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
