| GET     | index.php/login                                                             | »                                              | \App\Controllers\AuthController::login                                                               | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | index.php/register                                                          | »                                              | \App\Controllers\AuthController::register                                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Investments/News                                                            | »                                              | (Closure)                                                                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Profile                                                                     | »                                              | \App\Modules\User\Controllers\DashboardController::profile                                           | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login                   | login cspoff sessionTracker requestLifecycle observability jsonException toolbar                           |
| GET     | Wallets/Purchase/Memberships/Pro                                            | »                                              | (Closure)                                                                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | resend-activation                                                           | »                                              | \App\Controllers\AuthController::resendActivation                                                    | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | debug/register-success-probe                                                | »                                              | \App\Controllers\AuthController::registerSuccessProbe                                                | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | login                                                                       | »                                              | \App\Controllers\AuthController::login                                                               | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | logout                                                                      | »                                              | \App\Controllers\AuthController::logout                                                              | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck no-cache                | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | register                                                                    | »                                              | \App\Controllers\AuthController::register                                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | register/success                                                            | register-success                               | \App\Controllers\AuthController::registerSuccess                                                     | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException                                |
| GET     | login-shield                                                                | »                                              | \App\Controllers\ShieldAuth\Login::index                                                             | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck no-cache                | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | register-shield                                                             | »                                              | \App\Controllers\ShieldAuth\Register::index                                                          | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck no-cache                | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | Login                                                                       | »                                              | (Closure)                                                                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | register/([^/]+)                                                            | register-segment                               | \App\Controllers\AuthController::register/$1                                                         | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | Discord/register                                                            | discord-register                               | \App\Controllers\AuthController::register                                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | Discord/register/([^/]+)                                                    | discord-register-referral                      | \App\Controllers\AuthController::register/$1                                                         | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | activate                                                                    | »                                              | \App\Controllers\AuthController::activateAccount                                                     | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | activate-account                                                            | activate-account-get                           | \App\Controllers\AuthController::activateAccount                                                     | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | resend-activate-account                                                     | »                                              | \App\Controllers\AuthController::resendActivateAccount                                               | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | forgot-password                                                             | »                                              | \App\Controllers\AuthController::forgotPassword                                                      | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | reset-password                                                              | »                                              | \App\Controllers\AuthController::resetPassword                                                       | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | auth/provider/([^/]+)                                                       | auth-provider                                  | \App\Controllers\AuthController::redirectToProvider/$1                                               | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | auth/provider/([^/]+)/callback                                              | auth-provider-callback                         | \App\Controllers\AuthController::handleProviderCallback/$1                                           | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | Account                                                                     | account                                        | \App\Modules\User\Controllers\DashboardController::account                                           | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Account/Activity                                                            | activity                                       | \App\Modules\User\Controllers\DashboardController::activity                                          | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Account/Billing                                                             | billing                                        | \App\Modules\User\Controllers\DashboardController::billing                                           | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Account/Connected-Accounts                                                  | connected-accounts                             | \App\Modules\User\Controllers\DashboardController::connectedAccounts                                 | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
