method,route,name,handler,global_filters,local_filters,classification,status,reason,recommended_action,handler_namespace_review,cli_route
GET,Preview/Alert/([^/]+),»,\App\Modules\User\Controllers\AlertsController::preview/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,no
GET,Support/Account,»,\App\Modules\Support\Controllers\AccountSupportController::index,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,no
GET,help/account,»,\App\Controllers\App\Modules\Support\Controllers\AccountSupportController::index,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,yes,no
GET,Dashboard/PropFirm,»,PropFirms,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
GET,Features/Advanced-Investment-Portfoio-Manager,»,Features/Advanced-Investment-Portfolio-Manager,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
GET,Premium-Features/Advanced-Trade-Tracker,»,Investments/Trade-Tracker,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
GET,Premium-Features/Wallets,»,Wallets/Manager,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
GET,Investments/Reports,»,Investments/Trade-Tracker,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
POST,activate-account/([^/]+),activate-account-by-uri,\App\Controllers\AuthController::activateAccount,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,no
POST,API/v1/Status,»,\App\Modules\APIs\Controllers\APIController::status,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked apiToken,ratelimit apiToken cspoff sessionTracker requestLifecycle observability jsonException toolbar,STATEFUL_PUBLIC,MISSING_GUARD,Public lifecycle route changes state but no CSRF guard was recognized.,add_or_confirm_csrf_for_public_lifecycle_route,no,no
