batch_order,source_mutation_candidate_order,method,route,handler,classification,status,recommended_action,batch_recommendation
1,51,GET,API/Marketing/runMarketingPipeline,\App\Modules\APIs\Controllers\MarketingAPIController::runMarketingPipeline,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
2,52,GET,API/Marketing/generateContent,\App\Modules\APIs\Controllers\MarketingAPIController::generateContent,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
3,53,GET,API/Marketing/generateNewsletter,\App\Modules\APIs\Controllers\MarketingAPIController::generateNewsletterContent,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
4,54,GET,API/Marketing/getRecentScrapes,\App\Modules\APIs\Controllers\MarketingAPIController::getRecentScrapes,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
5,55,GET,API/Marketing/Grouped-Content-Drafts,\App\Modules\APIs\Controllers\MarketingAPIController::generateGroupedContentDrafts,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
6,56,GET,API/Marketing/previewGeneratedPost/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::previewGeneratedPost/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
7,57,GET,API/Marketing/RunContentGeneration,\App\Modules\APIs\Controllers\Management\MarketingAPIController::runContentGeneration,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
8,58,GET,API/Marketing/Quick-Scraper,\App\Modules\APIs\Controllers\MarketingAPIController::standaloneScrape,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
9,59,GET,API/Marketing/submitDailyLog,\App\Modules\APIs\Controllers\MarketingAPIController::submitDailyLog,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
10,60,POST,API/Marketing,\App\Modules\APIs\Controllers\MarketingAPIController::index,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
11,61,POST,API/Marketing/approvePost/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::approvePost/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
12,62,POST,API/Marketing/approveBufferItem/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::approveBufferItem/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
13,63,POST,API/Marketing/autoScheduleNextApproved,\App\Modules\APIs\Controllers\MarketingAPIController::autoScheduleNextApproved,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
14,64,POST,API/Marketing/generateVideoContent,\App\Modules\APIs\Controllers\MarketingAPIController::generateVideoContent,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b3_route_guard_patch
