index,method,route,handler,domain
1,GET,API/Ops/health-score,\App\Controllers\OpsHealthController::score,Ops
2,GET,API/Docs/index,\App\Modules\APIs\Controllers\DocsController::index,Docs
3,GET,API/Docs/view,\App\Modules\APIs\Controllers\DocsController::view,Docs
4,GET,API/Solana/health,\App\Modules\APIs\Controllers\SolanaAPIController::health,Solana
5,GET,API/Health/spark,\App\Modules\APIs\Controllers\HealthAPIController::spark,Health
6,GET,API/Ops/status,\App\Modules\APIs\Controllers\OpsAPIController::status,Ops
7,GET,API/Ops/reports/latest,\App\Modules\APIs\Controllers\OpsAPIController::latestReport,Ops
8,GET,API/AiOps/status,\App\Modules\APIs\Controllers\AiOpsAPIController::status,AiOps
9,GET,API/AIOps/health,\App\Modules\APIs\Controllers\AiOpsAPIController::health,AIOps
10,GET,API/AIOps/cache/get,\App\Modules\APIs\Controllers\AiOpsAPIController::cacheGet,AIOps
11,GET,API/Status/([^/]+),\App\Modules\APIs\Controllers\APIController::status,Status
12,GET,API/Investments/getSymbolsByTradeType/([^/]+),\App\Modules\APIs\Controllers\APIController::getSymbolsByTradeType/$1,Investments
13,GET,API/Investments/getForecastDetails/([^/]+),\App\Modules\APIs\Controllers\InvestmentsAPIController::getForecastDetails/$1,Investments
14,GET,API/Investments/getConfidenceHeatmap,\App\Modules\APIs\Controllers\InvestmentsAPIController::getConfidenceHeatmap,Investments
15,GET,API/Investments/getTopConfidenceBySector,\App\Modules\APIs\Controllers\InvestmentsAPIController::getTopConfidenceBySector,Investments
16,GET,API/Investments/getConfidenceDistribution,\App\Modules\APIs\Controllers\InvestmentsAPIController::getConfidenceDistribution,Investments
17,GET,API/Investments/getForecastAccuracySummary,\App\Modules\APIs\Controllers\InvestmentsAPIController::getForecastAccuracySummary,Investments
18,GET,API/AI/Notes,\App\Modules\APIs\Controllers\AIAPIController::listNotes,AI
19,GET,API/Discord/commandsCatalog,\App\Modules\APIs\Controllers\DiscordAPIController::commandsCatalog,Discord
20,GET,API/Discord/onboardingSteps,\App\Modules\APIs\Controllers\DiscordAPIController::onboardingSteps,Discord
21,GET,API/Discord/sharingGuide,\App\Modules\APIs\Controllers\DiscordAPIController::sharingGuide,Discord
22,GET,API/Discord/health,\App\Modules\APIs\Controllers\DiscordAPIController::health,Discord
23,GET,API/Discord/lookup/ticker,\App\Modules\APIs\Controllers\DiscordAPIController::tickerLookup,Discord
24,GET,API/Discord/lookup/crypto,\App\Modules\APIs\Controllers\DiscordAPIController::cryptoLookup,Discord
25,GET,API/Discord/lookup/quote,\App\Modules\APIs\Controllers\DiscordAPIController::quoteLookup,Discord
26,GET,API/Chat/me,\App\Modules\APIs\Controllers\ChatController::me,Chat
27,GET,API/Alerts/signals,\App\Modules\APIs\Controllers\AlertsAPIController::getSignals,Alerts
28,GET,API/Alerts/signalFiles,\App\Modules\APIs\Controllers\AlertsAPIController::getSignalFiles,Alerts
29,GET,API/Alerts/previewSignalFile/([0-9]+),\App\Modules\APIs\Controllers\AlertsAPIController::previewSignalFile/$1,Alerts
30,GET,API/Alerts/addTradeAlert,\App\Modules\APIs\Controllers\AlertsAPIController::addTradeAlert,Alerts
31,GET,API/Alerts/createTradeAlert/([^/]+),\App\Modules\APIs\Controllers\AlertsAPIController::addTradeAlert,Alerts
32,GET,API/Alerts/createTradeAlert,\App\Modules\APIs\Controllers\AlertsAPIController::addTradeAlert,Alerts
33,GET,API/Alerts/getFilteredAlerts,\App\Modules\APIs\Controllers\AlertsAPIController::getFilteredAlerts,Alerts
34,GET,API/Alerts/fetchAutoGeneratedAnalysis,\App\Modules\APIs\Controllers\AlertsAPIController::fetchAutoGeneratedAnalysis,Alerts
35,GET,API/Alerts/fetchMarketAuxNews/([^/]+),\App\Modules\APIs\Controllers\AlertsAPIController::fetchMarketAuxNews/$1,Alerts
36,GET,API/Alerts/generateMarketingForAlert/([0-9]+),\App\Modules\APIs\Controllers\AlertsAPIController::generateMarketingForAlert/$1,Alerts
37,GET,API/Alerts/generateNow,\App\Modules\APIs\Controllers\AlertsAPIController::generateNow,Alerts
38,GET,API/Alerts/generateTradeAlertSummary,\App\Modules\APIs\Controllers\AlertsAPIController::generateTradeAlertSummary,Alerts
39,GET,API/Alerts/getEmaComparison/([^/]+),\App\Modules\APIs\Controllers\AlertsAPIController::getEmaComparison/$1,Alerts
40,GET,API/Alerts/generateAlertSocialCopy/([0-9]+),\App\Modules\APIs\Controllers\AlertsAPIController::generateAlertSocialCopy/$1,Alerts
41,GET,API/Alerts/getFullMetrics,\App\Modules\APIs\Controllers\AlertsAPIController::getFullMetrics,Alerts
42,GET,API/Alerts/getLatestPrices,\App\Modules\APIs\Controllers\AlertsAPIController::getLatestPrices,Alerts
43,GET,API/Alerts/getTechnicalIndicators,\App\Modules\APIs\Controllers\AlertsAPIController::getTechnicalIndicators,Alerts
44,GET,API/Alerts/hideTradeAlert,\App\Modules\APIs\Controllers\AlertsAPIController::hideTradeAlert,Alerts
45,GET,API/Alerts/manageTradeAlert,\App\Modules\APIs\Controllers\AlertsAPIController::manageTradeAlert,Alerts
46,GET,API/Alerts/markAlertAsSentAndSendEmail/([^/]+),\App\Modules\APIs\Controllers\AlertsAPIController::markAlertAsSentAndSendEmail/$1,Alerts
47,GET,API/Alerts/processAlerts,\App\Modules\APIs\Controllers\AlertsAPIController::processAlerts,Alerts
48,GET,API/Alerts/processEmailAlerts,\App\Modules\APIs\Controllers\AlertsAPIController::processEmailAlerts,Alerts
49,GET,API/Alerts/processTradeAlerts,\App\Modules\APIs\Controllers\AlertsAPIController::processTradeAlerts,Alerts
50,GET,API/Alerts/processTradeBatch,\App\Modules\APIs\Controllers\AlertsAPIController::processTradeBatch,Alerts
51,GET,API/Alerts/sendAlert,\App\Modules\APIs\Controllers\AlertsAPIController::sendAlert,Alerts
52,GET,API/Alerts/storeMarketingContent,\App\Modules\APIs\Controllers\AlertsAPIController::storeMarketingContent,Alerts
53,GET,API/Alerts/updateBatchPrices,\App\Modules\APIs\Controllers\AlertsAPIController::updateBatchPrices,Alerts
54,GET,API/Alerts/updateChartOverride,\App\Modules\APIs\Controllers\AlertsAPIController::updateChartOverride,Alerts
55,GET,API/Alerts/updateExchange,\App\Modules\APIs\Controllers\AlertsAPIController::updateExchange,Alerts
56,GET,API/Alerts/updateStatus/([0-9]+)/(.*),\App\Modules\APIs\Controllers\AlertsAPIController::updateStatus/$1/$2,Alerts
57,GET,API/Alerts/updateTradeAlerts,\App\Modules\APIs\Controllers\AlertsAPIController::updateTradeAlerts,Alerts
58,GET,API/Alerts/submitTradeAlert,\App\Modules\APIs\Controllers\AlertsAPIController::submitTradeAlert,Alerts
59,GET,API/Alerts/getTradeAlertDetails,\App\Modules\APIs\Controllers\AlertsAPIController::getTradeAlertDetails,Alerts
60,GET,API/Alerts/generateVoiceoverScript,\App\Modules\APIs\Controllers\AlertsAPIController::generateVoiceoverScript,Alerts
61,GET,API/Alerts/generateVoiceoverAndMarketingContent,\App\Modules\APIs\Controllers\AlertsAPIController::generateVoiceoverAndMarketingContent,Alerts
62,GET,API/Alerts/generateAndStoreVoiceover,\App\Modules\APIs\Controllers\AlertsAPIController::generateAndStoreVoiceover,Alerts
63,GET,API/Alerts/generateSocialMediaPosts,\App\Modules\APIs\Controllers\AlertsAPIController::generateSocialMediaPosts,Alerts
64,GET,API/Alerts/postMarketingContentToSocials,\App\Modules\APIs\Controllers\AlertsAPIController::postMarketingContentToSocials,Alerts
65,GET,API/Alerts/gen-keys,\App\Modules\APIs\Controllers\AlertsAPIController::genKeys,Alerts
66,GET,API/Alerts/sign,\App\Modules\APIs\Controllers\AlertsAPIController::sign,Alerts
67,GET,API/Broker/summary,\App\Modules\APIs\Controllers\BrokerAPIController::summary,Broker
68,GET,API/Broker/credit,\App\Modules\APIs\Controllers\BrokerAPIController::credit,Broker
69,GET,API/Broker/available,\App\Modules\APIs\Controllers\BrokerAPIController::available,Broker
70,GET,API/Broker/repayment,\App\Modules\APIs\Controllers\BrokerAPIController::repayment,Broker
71,GET,API/Broker/categories,\App\Modules\APIs\Controllers\BrokerAPIController::categories,Broker
72,GET,API/Broker/transactions,\App\Modules\APIs\Controllers\BrokerAPIController::transactions,Broker
73,GET,API/Broker/goals,\App\Modules\APIs\Controllers\BrokerAPIController::goals,Broker
74,GET,API/Broker/insights,\App\Modules\APIs\Controllers\BrokerAPIController::insights,Broker
75,GET,API/Broker/trends,\App\Modules\APIs\Controllers\BudgetController::trends,Broker
76,GET,API/Broker/net-worth,\App\Modules\APIs\Controllers\BudgetController::netWorth,Broker
77,GET,API/Broker/cash-flow,\App\Modules\APIs\Controllers\BudgetController::cashFlow,Broker
78,GET,API/Broker/budgets,\App\Modules\APIs\Controllers\BudgetController::budgets,Broker
79,GET,API/Broker/savings-goals,\App\Modules\APIs\Controllers\BrokerAPIController::savingsGoals,Broker
