Watchlist '00 - Daily Top Gainers - Supreme'

00 - Daily Top Gainers - Supreme
Symbol,Sum,Stage,pct_Chg_from_52Wk_Lo,52Low,Mark,Mark %Change,%Chng 5 D,52High,pct_Chg_from_52Wk_Hi,pct_1_Mo_Chg,$ Vol,Volume,AbvVol,365Vol,Market Cap,Net Profit Margin - Current (LTM)
VERO,SELL,-5.0,475.5,1.3901,5.680,+297.20%,+426.32%,14.5,-44.83,253.98,2874.45,"308,915,099",3581.48,2.33,15 M,-92.761
IBRX,SELL,-1.0,201.64,1.83,6.040,+52.91%,+113.13%,5.58,-1.08,155.56,908.12,"182,353,701",929.99,10.3,"5,437 M",-422.28
JFBR,SELL,-5.0,143.4,0.53,1.140000,+104.30%,+90.77%,43.69,-97.05,4.88,359.73,"235,118,742",3586.21,1.38,4.1 M,<empty>
JAGX,SELL,-5.0,123.4,0.6401,1.070000,+39.96%,+72.29%,25.75,-94.45,15.32,230.98,"160,402,168",3809.86,0.9,6 M,-341.9
BIYA,SELL,-5.0,NaN,3.65,5.740,+27.27%,+52.93%,200.0,NaN,47.1,144.11,"20,340,004",2369.28,NaN,8.4 M,-35.443
LCFY,WAIT,2.0,81.27,2.51,4.450,+42.17%,+43.53%,13.98,-67.45,22.31,217.5,"42,688,141",4815.83,0.75,8.2 M,-134.71
BTDR,SELL,-4.0,131.58,6.84,15.830,+3.74%,+29.10%,27.8,-43.02,58.24,135.36,"8,734,134",19.09,5.92,"3,681 M",-115.59
CRML,SELL,1.0,1334.96,1.23,17.500,+1.45%,+19.58%,32.15,-45.1,123.42,342.83,"20,273,825",75.51,7.99,"2,081 M",-9252.5
VG,BUY,5.0,53.85,5.72,8.800,+10.55%,+19.24%,25.5,-65.49,48.65,129.83,"15,437,032",30.48,NaN,"21,543 M",22.963
RIOT,BUY,5.0,210.82,6.19,19.300,+16.48%,+16.96%,23.935,-19.62,42.84,985.15,"53,701,058",186.59,30.95,"7,154 M",25.739
UWMC,BUY,5.0,60.74,3.795,6.100,+5.17%,+14.23%,7.14,-14.57,19.14,193.15,"32,448,752",148.01,7.95,"1,637 M",.6247
UUUU,BUY,5.0,585.63,3.2,22.000,+5.16%,+13.91%,27.33,-19.72,55.82,343.89,"15,903,538",38.03,13.63,"5,206 M",-124.17
TE,SELL,-2.0,788.04,0.92,8.170,+10.26%,+13.31%,8.7699,-6.84,50.18,239.62,"30,681,057",68.24,5.88,"1,735 M",-136.57
LUNR,SELL,-1.0,251.75,6.135,21.580,0.00%,+12.40%,24.95,-13.51,100.19,409.11,"19,602,610",102.72,9.5,"3,071 M",-94.379
UEC,SELL,-1.0,364.16,3.85,17.870,0.00%,+12.04%,18.72,-4.54,47.2,257.11,"14,355,722",39.59,12.25,"8,638 M",-156.46
CLSK,WAIT,2.0,107.22,6.452,13.420,+5.42%,+11.79%,23.61,-43.37,12.73,458.1,"34,508,275",9.94,27.74,"3,417 M",47.561
JBLU,SELL,-2.0,61.08,3.34,5.330,+7.03%,+10.02%,8.31,-35.26,8.91,145.3,"28,240,170",61.85,22.41,"1,957 M",-5.1566
RDW,BUY,5.0,140.45,4.87,11.940,+9.94%,+9.85%,26.66,-56.08,77.69,512.93,"44,515,258",225.71,5.88,"1,934 M",-70.319
DNN,BUY,1.0,241.67,1.08,3.700,+4.23%,+9.17%,3.8,-2.89,41.92,254.12,"68,959,895",38.79,76.88,"3,311 M",-4017.7
EOSE,BUY,5.0,468.4,3.07,17.540,+3.91%,+8.18%,19.86,-12.13,31.2,355.51,"20,390,324",-3.12,14.77,"5,656 M",-1760.7
CORZ,BUY,5.0,204.68,6.2,18.940,+4.76%,+8.07%,23.63,-20.06,28.24,238.21,"12,890,140",5.96,15.87,"5,857 M",-229.91
PBR,WAIT,2.0,15.02,11.0329,12.690,+0.63%,+6.91%,14.98,-15.29,7.63,150.04,"11,851,525",-37.08,21.41,"81,779 M",15.774
MARA,SELL,-2.0,26.93,8.95,11.450,+7.41%,+6.67%,23.45,-51.56,6.27,575.45,"51,948,080",23.37,45.91,"4,296 M",100.82
CNH,BUY,5.0,21.33,9.0,10.920,+0.92%,+6.43%,14.27,-23.48,13.4,203.77,"18,776,631",41.78,16.03,"13,611 M",9.4773
CIFR,SELL,-2.0,910.75,1.86,18.920,+7.99%,+6.33%,25.52,-26.33,25.42,841.72,"45,615,139",28.59,30.66,"7,428 M",-34.162
AG,BUY,5.0,322.4,5.09,21.560,+6.00%,+6.33%,21.54,-0.19,31.1,675.94,"33,073,431",66.35,21.21,"10,536 M",7.0747
ASX,SELL,-1.0,179.68,6.94,19.410,+1.15%,+6.24%,19.665,-1.3,26.86,126.63,"6,501,555",-3.35,9.48,"42,345 M",5.5986
DOC,SELL,-2.0,13.49,15.71,17.830,+2.19%,+6.07%,21.28,-16.21,8.99,163.25,"9,291,275",21.45,6.92,"12,391 M",-1.3592
COMP,WAIT,3.0,127.41,5.655,12.860,+2.14%,+5.32%,13.53,-4.95,18.2,249.35,"19,273,076",17.21,10.07,"9,314 M",-.8491
NLY,SELL,-1.0,47.03,16.595,24.400,+2.39%,+5.22%,24.4,0.0,10.31,223.64,"9,283,376",16.9,7.77,"16,666 M",85.565
UMC,SELL,1.0,65.78,5.61,9.300,+6.04%,+5.08%,9.37,-0.75,17.87,132.14,"14,269,556",59.81,10.1,"23,414 M",17.007
EXK,BUY,5.0,297.27,2.9501,11.750,+1.56%,+4.92%,11.72,0.0,25.75,208.2,"18,680,706",31.29,13.09,"3,448 M",-27.969
QUBT,SELL,-5.0,190.41,4.3732,12.700,+4.27%,+4.87%,25.84,-50.85,12.69,267.89,"21,206,364",-2.46,25.84,"2,846 M",-12519
NGD,BUY,5.0,325.38,2.6,11.100,+6.63%,+4.83%,11.09,-0.27,34.39,221.89,"20,942,688",12.35,19.75,"8,756 M",20.069
AGNC,SELL,-1.0,51.97,7.85,11.930,+2.14%,+4.83%,11.93,0.0,15.49,227.92,"19,303,266",-1.53,23.61,"12,798 M",87.657
NVTS,SELL,2.0,617.76,1.52,10.960,+9.60%,+4.60%,17.79,-38.67,39.34,307.66,"28,794,824",31.38,26.54,"2,515 M",-220.85
CDE,BUY,5.0,393.01,4.58,22.660,+6.79%,+4.49%,23.615,-4.38,33.69,634.27,"29,394,973",53.41,17.27,"14,499 M",24.034
PLUG,SELL,-3.0,242.03,0.69,2.370,+4.87%,+3.51%,4.58,-48.47,3.06,273.29,"118,050,686",14.12,96.96,"3,284 M",-313.69
LAC,WAIT,1.0,158.01,2.31,5.940,+1.19%,+3.47%,10.52,-43.35,24.69,128.89,"22,581,757",51.91,16.31,"1,809 M",-160.61
RITM,SELL,-2.0,28.81,9.13,11.740,+3.44%,+3.16%,12.74,-7.69,6.52,141.11,"12,190,654",88.65,5.32,"6,517 M",22.776
ELAN,SELL,-2.0,205.86,8.02,24.530,+1.45%,+2.76%,24.84,-1.25,9.07,160.62,"6,590,946",20.57,5.87,"12,188 M",.7841
ARR,SELL,-1.0,45.07,13.18,19.120,+1.59%,+2.52%,19.31,-0.98,13.34,155.73,"8,163,876",145.43,3.12,"2,139 M",55.26
