Watchlist '00 - MyMI SuperTrend Scanner'

00 - MyMI SuperTrend Scanner
Symbol,Sum,Stage,pct_Chg_from_52Wk_Lo,52Low,Mark,Mark %Change,%Chng 5 D,52High,pct_Chg_from_52Wk_Hi,pct_1_Mo_Chg,$ Vol,Volume,AbvVol,365Vol,Market Cap,Net Profit Margin - Current (LTM)
VERO,SELL,-5.0,475.5,1.3901,5.680,+297.20%,+426.32%,14.5,-44.83,253.98,2874.45,"308,915,099",3581.48,2.33,15 M,-92.761
JFBR,SELL,-5.0,143.4,0.53,1.140000,+104.30%,+90.77%,43.69,-97.05,4.88,359.73,"235,118,742",3586.21,1.38,4.1 M,<empty>
IBRX,SELL,-1.0,201.64,1.83,6.040,+52.91%,+113.13%,5.58,-1.08,155.56,908.12,"182,353,701",929.99,10.3,"5,437 M",-422.28
LCFY,WAIT,2.0,81.27,2.51,4.450,+42.17%,+43.53%,13.98,-67.45,22.31,217.5,"42,688,141",4815.83,0.75,8.2 M,-134.71
JAGX,SELL,-5.0,123.4,0.6401,1.070000,+39.96%,+72.29%,25.75,-94.45,15.32,230.98,"160,402,168",3809.86,0.9,6 M,-341.9
TNMG,SELL,-5.0,101.55,1.94,3.220000,+36.44%,+68.53%,120.0,-96.74,-6.9,104.66,"27,761,250",2081.0,0.38,162 M,-167.88
PRFX,SELL,-1.0,84.94,0.611,1.070000,+30.63%,+40.76%,6.65,-83.01,15.32,79.1319,"64,154,937",2938.192,1.778,4.4 M,<empty>
SEGG,SELL,-1.0,178.26,0.46,1.270000,+27.08%,+147.34%,26.45,-95.16,33.84,32.0,"24,564,849",208.54,1.99,6.6 M,-2305.9
RIOT,BUY,5.0,210.82,6.19,19.300,+16.48%,+16.96%,23.935,-19.62,42.84,985.15,"53,701,058",186.59,30.95,"7,154 M",25.739
TE,SELL,-2.0,788.04,0.92,8.170,+10.26%,+13.31%,8.7699,-6.84,50.18,239.62,"30,681,057",68.24,5.88,"1,735 M",-136.57
RDW,BUY,5.0,140.45,4.87,11.940,+9.94%,+9.85%,26.66,-56.08,77.69,512.93,"44,515,258",225.71,5.88,"1,934 M",-70.319
NVTS,SELL,2.0,617.76,1.52,10.960,+9.60%,+4.60%,17.79,-38.67,39.34,307.66,"28,794,824",31.38,26.54,"2,515 M",-220.85
CIFR,SELL,-2.0,910.75,1.86,18.920,+7.99%,+6.33%,25.52,-26.33,25.42,841.72,"45,615,139",28.59,30.66,"7,428 M",-34.162
SMR,BUY,5.0,82.22,11.08,20.330,+7.57%,+2.38%,57.42,-64.84,17.93,687.87,"34,906,407",34.03,16.46,"5,711 M",-594.63
MARA,SELL,-2.0,26.93,8.95,11.450,+7.41%,+6.67%,23.45,-51.56,6.27,575.45,"51,948,080",23.37,45.91,"4,296 M",100.82
