Quote on 1/17/26 08:17:42

00 - MyMI Weekly Top Performing
Symbol,Sum,Mark,Mark %Change,%Chng 5 D,Market Cap,$ Vol,Stage,pct_Chg_from_52Wk_Lo,52Low,52High,pct_Chg_from_52Wk_Hi,pct_1_Mo_Chg,Volume,AbvVol,365Vol,Net Profit Margin - Current (LTM)
RKLB,SELL,96.300,0.00%,+9.56%,"51,439 M",3465.75,-4.0,554.66,14.71,99.58,-3.29,73.54,"36,105,306",47.11,21.61,-35.639
IREN,BUY,58.220,+0.69%,+14.88%,"18,985 M",2986.2,5.0,1028.2,5.125,76.87,-24.78,58.02,"53,965,869",44.17,27.26,75.993
VERO,SELL,5.680,+297.20%,+426.32%,15 M,2874.45,-5.0,475.5,1.3901,14.5,-44.83,253.98,"308,915,099",3581.48,2.33,-92.761
RBLX,SELL,87.500,+3.37%,+13.76%,"61,264 M",1448.17,-5.0,74.21,50.1,150.59,-42.04,-0.18,"16,423,803",94.78,8.64,-21.7
RIOT,BUY,19.300,+16.48%,+16.96%,"7,154 M",985.15,5.0,210.82,6.19,23.935,-19.62,42.84,"53,701,058",186.59,30.95,25.739
IBRX,SELL,6.040,+52.91%,+113.13%,"5,437 M",908.12,-1.0,201.64,1.83,5.58,-1.08,155.56,"182,353,701",929.99,10.3,-422.28
CIFR,SELL,18.920,+7.99%,+6.33%,"7,428 M",841.72,-2.0,910.75,1.86,25.52,-26.33,25.42,"45,615,139",28.59,30.66,-34.162
HL,BUY,26.850,+6.46%,+8.50%,"17,784 M",717.5,5.0,495.07,4.46,26.58,-0.15,39.54,"28,348,405",28.78,22.24,16.269
AG,BUY,21.560,+6.00%,+6.33%,"10,536 M",675.94,5.0,322.4,5.09,21.54,-0.19,31.1,"33,073,431",66.35,21.21,7.0747
CDE,BUY,22.660,+6.79%,+4.49%,"14,499 M",634.27,5.0,393.01,4.58,23.615,-4.38,33.69,"29,394,973",53.41,17.27,24.034
PL,SELL,28.880,+2.12%,+13.13%,"9,027 M",592.95,-5.0,931.54,2.79,30.8978,-6.85,60.96,"20,012,593",68.42,9.31,-45.868
MARA,SELL,11.450,+7.41%,+6.67%,"4,296 M",575.45,-2.0,26.93,8.95,23.45,-51.56,6.27,"51,948,080",23.37,45.91,100.82
GLXY,BUY,34.310,+7.25%,+34.60%,"6,594 M",518.83,5.0,318.41,8.2,45.92,-25.28,41.14,"15,461,983",106.57,5.53,.3792
MRNA,BUY,41.830,+6.28%,+23.61%,"16,344 M",493.12,5.0,87.75,22.28,45.4,-7.86,39.95,"11,891,053",9.18,10.86,-139.61
CLSK,WAIT,13.420,+5.42%,+11.79%,"3,417 M",458.1,2.0,107.22,6.452,23.61,-43.37,12.73,"34,508,275",9.94,27.74,47.561
LUNR,SELL,21.580,0.00%,+12.40%,"3,071 M",409.11,-1.0,251.75,6.135,24.95,-13.51,100.19,"19,602,610",102.72,9.5,-94.379
JFBR,SELL,1.140000,+104.30%,+90.77%,4.1 M,359.73,-5.0,143.4,0.53,43.69,-97.05,4.88,"235,118,742",3586.21,1.38,<empty>
EOSE,BUY,17.540,+3.91%,+8.18%,"5,656 M",355.51,5.0,468.4,3.07,19.86,-12.13,31.2,"20,390,324",-3.12,14.77,-1760.7
UUUU,BUY,22.000,+5.16%,+13.91%,"5,206 M",343.89,5.0,585.63,3.2,27.33,-19.72,55.82,"15,903,538",38.03,13.63,-124.17
CRML,SELL,17.500,+1.45%,+19.58%,"2,081 M",342.83,1.0,1334.96,1.23,32.15,-45.1,123.42,"20,273,825",75.51,7.99,-9252.5
UEC,SELL,17.870,0.00%,+12.04%,"8,638 M",257.11,-1.0,364.16,3.85,18.72,-4.54,47.2,"14,355,722",39.59,12.25,-156.46
DNN,BUY,3.700,+4.23%,+9.17%,"3,311 M",254.12,1.0,241.67,1.08,3.8,-2.89,41.92,"68,959,895",38.79,76.88,-4017.7
TE,SELL,8.170,+10.26%,+13.31%,"1,735 M",239.62,-2.0,788.04,0.92,8.7699,-6.84,50.18,"30,681,057",68.24,5.88,-136.57
CORZ,BUY,18.940,+4.76%,+8.07%,"5,857 M",238.21,5.0,204.68,6.2,23.63,-20.06,28.24,"12,890,140",5.96,15.87,-229.91
JAGX,SELL,1.070000,+39.96%,+72.29%,6 M,230.98,-5.0,123.4,0.6401,25.75,-94.45,15.32,"160,402,168",3809.86,0.9,-341.9
