id,page_name,page_title,page_url,page_sitemap_url,page_internal_url,page_controller,page_controller_url,page_controller_directory,page_file_directory,page_image,page_description,page_address,page_city,page_state,page_country,page_zipcode,page_facebook,active,custom,linked,functionality,design,mobile,seo,ext_links,grammar,d_optimize,load_perf,additional_notes
1,Home,"MyMI Wallet | Investment Accounting/Analytical Software | Crypto Asset",https://www.mymiwallet.com,https://www.mymiwallet.com,,home,home/index,application/controller/home,application/controller/home/index,https://www.mymiwallet.com/assets/images/MyMI-Wallet-Logo-1024x1024.png,"Overcome your financial investments Start creating Crypto Assets and listing them on our MyMI Marketplace & Exchange. Gain access to more than <?php echo $total","2304 Ashland Ave.","Bossier City",LA,US,71111,https://www.facebook.com/MyMIWallet,1,,1,1,1,1,1,-1,1,0,0,"- MyMI Asset Markplace Link Brok"
2,Login,"Login | MyMI Wallet | The Future of Wealth",https://www.mymiwallet.com/login,https://www.mymiwallet.com/login,login,users,users/login,bonfire/modules/users/controller,bonfire/modules/users/views,https://www.mymiwallet.com/assets/images/MyMI-Wallet-Logo-1024x1024.png,"Log into your Investor/Partnership Account to access your Investments, Assets and our Marketplace/Exchange to get started today!","2304 Ashland Ave.","Bossier City",LA,US,71111,https://www.facebook.com/MyMIWallet,1,,1,1,1,1,1,1,1,0,0,0
3,Free_Register,"Register for FREE | MyMI Wallet | The Future of Wealth",https://www.mymiwallet.com/Free/register,https://www.mymiwallet.com/Free/register,Free/register,users,users/register,bonfire/modules/users/controller,bonfire/modules/users/views,https://www.mymiwallet.com/assets/images/MyMI-Wallet-Logo-1024x1024.png,"Register your Free Investor & Partnership Account at MyMI Wallet to assess your Investments, Assets, and our Crypto Marketplace/Exchange","2304 Ashland Ave.","Bossier City",LA,US,71111,https://www.facebook.com/MyMIWallet,1,,1,0,-1,-1,1,1,1,0,0,0
4,Beta_Register,"Register for Beta | MyMI Wallet | The Future of Wealth",https://www.mymiwallet.com/Beta/register,https://www.mymiwallet.com/Beta/register,Beta/register,users,users/register,bonfire/modules/users/controller,bonfire/modules/users/views,https://www.mymiwallet.com/assets/images/MyMI-Wallet-Logo-1024x1024.png,"Register your Beta Investor & Partnership Account at MyMI Wallet to assess your Investments, Assets, and our Crypto Marketplace/Exchange","2304 Ashland Ave.","Bossier City",LA,US,71111,https://www.facebook.com/MyMIWallet,1,,1,0,-1,-1,1,1,1,0,0,0
5,Verify_Email,"Verify Your Email Address | MyMI Wallet | The Future of Wealth",https://www.mymiwallet.com/Verify-Email,https://www.mymiwallet.com/Verify-Email,Verify-Email/(userID),users,users/Verify_Email/(userID),bonfire/modules/users/controller,bonfire/modules/users/views,https://www.mymiwallet.com/assets/images/MyMI-Wallet-Logo-1024x1024.png,"Verify Your Email Address to access your Investments, Assets, and our Crypto Marketplace/Exchange","2304 Ashland Ave.","Bossier City",LA,US,71111,https://www.facebook.com/MyMIWallet,1,,1,1,-1,-1,1,1,1,0,0,0
6,Account_Information,"Complete Your Account Information | MyMI Wallet | The Future of Wealth",https://www.mymiwallet.com/Account-Information,https://www.mymiwallet.com/Account-Information,Account-Information/(userID),users,users/Account_Information,bonfire/modules/users/controller,bonfire/modules/users/views,https://www.mymiwallet.com/assets/images/MyMI-Wallet-Logo-1024x1024.png,,"2304 Ashland Ave.","Bossier City",LA,US,71111,https://www.facebook.com/MyMIWallet,1,,0,0,-1,0,0,0,0,0,0,0
7,Registration_Successful,"Registration Successful | MyMI Wallet | The Future of Wealth",https://www.mymiwallet.com/Registration-Successful,https://www.mymiwallet.com/Registration-Successful,Registration-Successful/(userID),users,users/Successful_Registration,bonfire/modules/users/controller,bonfire/modules/users/views,https://www.mymiwallet.com/assets/images/MyMI-Wallet-Logo-1024x1024.png,,"2304 Ashland Ave.","Bossier City",LA,US,71111,https://www.facebook.com/MyMIWallet,1,,0,0,-1,0,0,0,0,0,0,0
8,Activate,"Activate Your Investor/Partner Account | MyMI Wallet",https://www.mymiwallet.com/activate,https://www.mymiwallet.com/activate,activate,users,users/activate/(userID),bonfire/modules/users/controller,bonfire/modules/users/views,https://www.mymiwallet.com/assets/images/MyMI-Wallet-Logo-1024x1024.png,,"2304 Ashland Ave.","Bossier City",LA,US,71111,https://www.facebook.com/MyMIWallet,1,,1,0,1,-1,1,0,1,0,0,0
9,Resend_Activation,"Resend Your Activation Code | MyMI Wallet",https://www.mymiwallet.com/resend-activation,https://www.mymiwallet.com/resend-activation,resend-activation/(userID),users,users/resend_activation/(userID),bonfire/modules/users/controller,bonfire/modules/users/views,https://www.mymiwallet.com/assets/images/MyMI-Wallet-Logo-1024x1024.png,,"2304 Ashland Ave.","Bossier City",LA,US,71111,https://www.facebook.com/MyMIWallet,1,,1,1,-1,-1,-1,1,1,0,0,0
10,Forgot_Password,"Forgot Your Password? Reset Your Password Here | MyMI Wallet",https://www.mymiwallet.com/forgot-password,https://www.mymiwallet.com/forgot-password,forgot-password,users,users/forgot_password,bonfire/modules/users/controller,bonfire/modules/users/views,https://www.mymiwallet.com/assets/images/MyMI-Wallet-Logo-1024x1024.png,,"2304 Ashland Ave.","Bossier City",LA,US,71111,https://www.facebook.com/MyMIWallet,1,,1,-1,-1,-1,-1,1,1,0,0,0
11,Reset_Password,"Reset Your Password | MyMI Wallet | The Future of Wealth",https://www.mymiwallet.com/reset-password,https://www.mymiwallet.com/reset-password,reset-password/(email)/(code),users,users/reset_password,bonfire/modules/users/controller,bonfire/modules/users/views,https://www.mymiwallet.com/assets/images/MyMI-Wallet-Logo-1024x1024.png,,"2304 Ashland Ave.","Bossier City",LA,US,71111,https://www.facebook.com/MyMIWallet,1,,0,0,0,0,0,0,0,0,0,0
12,Customer_Support,"Customer Support | MyMI Wallet | The Future of Wealth",https://www.mymiwallet.com/Customer-Support,https://www.mymiwallet.com/Customer-Support,Customer-Support,Public/Support,Public/Support/index,application/modules/Public/Support,application/modules/Public/Support/views,https://www.mymiwallet.com/assets/images/MyMI-Wallet-Logo-1024x1024.png,,"2304 Ashland Ave.","Bossier City",LA,US,71111,https://www.facebook.com/MyMIWallet,1,,1,-1,-1,-1,1,-1,-1,0,0,0
13,Customer_Support_Contact_Us,"Contact Us | Customer Support | MyMI Wallet",https://www.mymiwallet.com/Customer-Support/Contact-Us,https://www.mymiwallet.com/Customer-Support/Contact-Us,Customer-Support/Contact-Us,Public/Support,Public/Support/Request,application/modules/Public/Support,application/modules/Public/Support/views,https://www.mymiwallet.com/assets/images/MyMI-Wallet-Logo-1024x1024.png,,"2304 Ashland Ave.","Bossier City",LA,US,71111,https://www.facebook.com/MyMIWallet,-1,,0,0,0,0,0,0,0,0,0,0
