id,type,category,page,views
1,Private,Alerts,Alerts/Summary/AAPL,11
2,Private,Dashboard,Dashboard,2865
3,Private,Profile,Profile/132,5
4,Private,Profile,Profile/91,2
5,Private,Referral-Program,Referral-Program/Apply,13
8,Public,Home,/,1
9,Public,Stock,Stock/NASDAQ/YJ,18
10,Public,Stock,Stock/NYSE/LEO,8
11,Public,Stock,Stock/NASDAQ/CARG,16
12,Public,Stock,Stock/NASDAQ/MFINL,1
13,Public,Stock,Stock/NASDAQ/FYT,8
14,Public,Stock,Stock/NASDAQ/MAYS,10
15,Public,Stock,Stock/NYSE/DX,12
16,Public,Stock,Stock/NYSE/MUI,13
17,Public,Home,/,1
18,Public,Stock,Stock/NYSE/MFC,10
19,Public,Stock,Stock/AMEX/OBLG,19
20,Public,Stock,Stock/NYSE/BYD,12
21,Public,Memberships,Memberships,5275
22,Public,Stock,Stock/NASDAQ/ACHV,1
23,Public,Stock,Stock/NASDAQ/CTIB,1
24,Public,Stock,Stock/NASDAQ/AMHCW,17
25,Public,Stock,Stock/NASDAQ/GOOG,11
26,Public,Stock,Stock/NYSE/MNR,12
27,Public,Stock,Stock/NYSE/PINS,10
28,Public,Stock,Stock/NYSE/EXPR,13
29,Public,Stock,Stock/NYSE/SID,15
30,Public,Stock,Stock/NASDAQ/CSQ,1
31,Public,Stock,Stock/NYSE/CAJ,13
32,Public,Stock,Stock/NYSE/CE,11
33,Public,Stock,Stock/NASDAQ/ANDA,14
34,Public,Stock,Stock/NASDAQ/PHIO,1
35,Public,Stock,Stock/NYSE/BKK,13
36,Public,Stock,Stock/NASDAQ/PLUG,27
37,Public,Stock,Stock/NYSE/EDU,1
38,Public,Stock,Stock/NASDAQ/TOPS,1
39,Public,Stock,Stock/NASDAQ/ERIC,1
40,Public,Home,/,1
41,Public,Stock,Stock/NASDAQ/FSZ,1
42,Public,Stock,Stock/AMEX/FSZ,1
43,Public,Stock,Stock/NYSE/GPJA,1
44,Public,Stock,Stock/NYSE/APG,45
45,Public,Home,/,1
46,Public,login,login,1
47,Public,Stock,Stock/NYSE/FIS,14
48,Public,Stock,Stock/NASDAQ/NDRAW,9
49,Public,Stock,Stock/NASDAQ/UXIN,1
50,Public,Stock,Stock/NYSE/JBT,16
51,Public,Stock,Stock/NYSE/PK,12
52,Public,Stock,Stock/NASDAQ/GNRSU,1
53,Public,Stock,Stock/NASDAQ/ALT,14
54,Public,Stock,Stock/NYSE/ALT,1
55,Public,Stock,Stock/NYSE/KEY,13
56,Public,Stock,Stock/NYSE/MOGU,12
57,Public,Stock,Stock/NASDAQ/LGND,1
58,Public,Stock,Stock/NYSE/BLX,12
59,Public,Home,/,1
60,Public,Stock,Stock/NYSE/EFL,1
61,Public,login,login,1
62,Public,login,login,3
63,Public,Stock,Stock/NASDAQ/ZIONO,15
64,Public,Stock,Stock/NASDAQ/CECE,1
65,Public,Stock,Stock/NASDAQ/PLRX,1
66,Public,Stock,Stock/NASDAQ/DDIV,15
67,Public,Stock,Stock/NASDAQ/MNSB,11
68,Public,Stock,Stock/NYSE/ESTC,14
69,Public,News,News/Investor-Sentiment,16
